Bringing Up Baby,www.youtube.com/watch?v=n9uUJQRzh4k,FALSE,Howard Hawks,1938
The Sixth Sense,www.youtube.com/watch?v=VG9AGf66tXM,TRUE,M. Night Shyamalan,1999
Swing Time,www.youtube.com/watch?v=uNOMw2W-o8o,FALSE,George Stevens,1936
Sophie's Choice,www.youtube.com/watch?v=STPJVf6wqCk,FALSE,Alan J. Pakula,1982
Goodfellas,www.youtube.com/watch?v=qo5jJpHtI1Y,TRUE,Martin Scorsese,1990
The French Connection,www.youtube.com/watch?v=nP_7ZopT6oM,FALSE,William Friedkin,1971
Pulp Fiction,www.youtube.com/watch?v=wZBfmBvvotE,TRUE,Quentin Tarantino,1994
The Last Picture Show,www.youtube.com/watch?v=3YQomR5xJ_Y,FALSE,Peter Bogdanovich,1971
Do the Right Thing,www.youtube.com/watch?v=muc7xqdHudI,FALSE,Spike Lee,1989
Blade Runner,www.youtube.com/watch?v=4lW0F1sccqk,FALSE,Ridley Scott,1982
Yankee Doodle Dandy,www.youtube.com/watch?v=qTec9v6fjN0,FALSE,Michael Curtiz,1942
Toy Story,www.youtube.com/watch?v=KYz2wyBy3kc,TRUE,John Lasseter,1995
Ben-Hur,www.youtube.com/watch?v=LlzfqVtmxVA,TRUE,William Wyler,1959
